Car-Name,Engine,Image,MPG,Seating,Transmission,Power,Drivetrain,Features
2019 Lamborghini Urus,4.0LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90LGS011A01296.jpg,12 City / 17 Hwy,5 Passengers,8-spd auto w/OD,641 @ 6000 rpm,all wheel,"['4.0L V-8 Engine', '8-spd auto w/OD Transmission', '641 @ 6,000 rpm Horsepower', '626 @ 2,250 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '21"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'AM/FM/HD/Satellite, seek-scan Radio', '3 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2018 Lamborghini Huracan,5.2LV-10,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC50LGC051A01300.jpg,14 City / 19 Hwy,2 Passengers,7-spd auto-shift man w/OD,602 @ 8250 rpm,all wheel,"['5.2L V-10 Engine', '7-spd auto-shift man w/OD Transmission', '573 @ 8,000 rpm Horsepower', '398 @ 6,500 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leather Seat trim']"
2019 Land Rover Range Rover Velar,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LRS121C021001.jpg,21 City / 27 Hwy,5 Passengers,8-spd auto w/OD,247 @ 5500 rpm,four-wheel,"['2.0L I-4 Engine', '8-spd auto w/OD Transmission', '247 @ 5,500 rpm Horsepower', '269 @ 1,200 rpm Torque', 'four-wheel Drive type', 'ABS and driveline Traction control', '1st and 2nd row exterior express open/close sliding and tilting glass Sunroof', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM stereo, seek-scan Radio', '3 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Luxtec/Suedecloth simulated suede/leatherette Seat trim', 'Parking assist']"
2019 Land Rover Discovery Sport,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LRS113A021001.jpg,21 City / 25 Hwy,5 Passengers,9-spd w/OD,237 @ 5500 rpm,Terrain Response four-wheel,"['2.0L I-4 Engine', '9-spd w/OD Transmission', '237 @ 5,500 rpm Horsepower', '251 @ 1,250 rpm Torque', 'Terrain Response four-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'cloth/leather Seat trim', 'driver and passenger Lumbar support', 'Parking assist']"
2019 Land Rover Range Rover Evoque,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LRS102B021001.jpg,22 City / 29 Hwy,5 Passengers,9-spd auto w/OD,237 @ 5500 rpm,Terrain Response four-wheel,"['2.0L I-4 Engine', '9-spd auto w/OD Transmission', '237 @ 5,500 rpm Horsepower', '251 @ 1,250 rpm Torque', 'Terrain Response four-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/HD/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2019 Land Rover Range Rover Sport,3.0LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LRS071C021001_2.jpg,17 City / 23 Hwy,5 Passengers,8-spd w/OD,340 @ 6500 rpm,Terrain Response four-wheel,"['3.0L V-6 Engine', '8-spd w/OD Transmission', '340 @ 6,500 rpm Horsepower', '332 @ 3,500 rpm Torque', 'Terrain Response four-wheel Drive type', 'ABS and driveline Traction control', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/HD/Satellite, seek-scan Radio', '3 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Front and Rear Parking Aid Parking assist']"
2019 Lexus RX 350,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90LES121A021001.jpg,20 City / 28 Hwy,5 Passengers,8-spd auto w/OD,295 @ 6300 rpm,front-wheel,"['3.5L V-6 Engine', '8-spd auto w/OD Transmission', '295 @ 6,300 rpm Horsepower', '267 @ 4,700 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'NuLuxe leatherette Seat trim', 'driver and passenger Lumbar support']"
2019 Lexus ES 300h,I-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90LEC251A021001.jpg,43 City / 45 Hwy,5 Passengers,1-spd CVT w/OD,176 @ 5700 rpm,front-wheel,"['2.5L I-4 Engine', '1-spd CVT w/OD Transmission', '176 @ 5,700 rpm Horsepower', '163 @ 3,600 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '17"" machined aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'NuLuxe leatherette Seat trim', 'driver and passenger Lumbar support']"
2019 Lexus GS 350,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC60LEC171A021001.jpg,20 City / 28 Hwy,5 Passengers,8-spd auto w/OD,311 @ 6400 rpm,rear-wheel,"['3.5L V-6 Engine', '6-spd auto w/OD Transmission', '311 @ 6,400 rpm Horsepower', '280 @ 4,800 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '18"" machined aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'NuLuxe leatherette Seat trim', 'driver and passenger Lumbar support', 'Navigation system']"
2019 Lexus GX 460,4.6LV-8,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70LES151A021001.jpg,15 City / 18 Hwy,7 Passengers,6-spd auto w/OD,301 @ 5500 rpm,four-wheel,"['4.6L V-8 Engine', '6-spd auto w/OD Transmission', '301 @ 5,500 rpm Horsepower', '329 @ 3,400 rpm Torque', 'four-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'NuLuxe leatherette Seat trim', 'driver and passenger Lumbar support', '50-50 split-bench Third row seats']"
2019 Lincoln Navigator,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LIS012C021001_2.jpg,16 City / 23 Hwy,7 Passengers,10-spd w/OD,450 @ 5500 rpm,rear-wheel,"['3.5L V-6 Engine', '10-spd w/OD Transmission', '450 @ 5,500 rpm Horsepower', '500 @ 3,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '20"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', '60-40 split-bench Third row seats', 'Navigation system', 'Parking assist']"
2019 Lincoln MKT,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LIS052A021001.jpg,15 City / 21 Hwy,7 Passengers,6-spd w/OD,365 @ 5700 rpm,all wheel,"['3.5L V-6 Engine', '6-spd w/OD Transmission', '365 @ 5,700 rpm Horsepower', '350 @ 3,500 rpm Torque', 'all wheel Drive type', 'ABS and driveline Traction control', '1st row exterior express open/close sliding and tilting glass Sunroof', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '3 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', '50-50 split-bench Third row seats', 'Navigation system', 'Reverse Sensing System Parking assist']"
2019 Lincoln Continental,3.7LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70LIC011B021001.jpg,17 City / 26 Hwy,5 Passengers,6-spd w/OD,305 @ 6500 rpm,front-wheel,"['3.7L V-6 Engine', '6-spd w/OD Transmission', '305 @ 6,500 rpm Horsepower', '280 @ 4,000 rpm Torque', 'front-wheel Drive type', 'driveline Traction control', '18"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Lincoln Soft Touch leatherette Seat trim', 'driver and passenger Lumbar support', 'Parking assist']"
2019 Lincoln Navigator L,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80LIS041A021001.jpg,16 City / 22 Hwy,7 Passengers,10-spd w/OD,450 @ 5500 rpm,rear-wheel,"['3.5L V-6 Engine', '10-spd w/OD Transmission', '450 @ 5,500 rpm Horsepower', '500 @ 3,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '22"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', '60-40 split-bench Third row seats', 'Navigation system', 'Parking assist']"
